,Dataset,N,Omega,D
0,chips,1941,0.02,331.0
0,chips,1981,0.02,332.0
0,chips,2001,0.04,332.0
0,chips,2021,0.04,332.0
0,chips,2061,0.02,334.0
0,chips,2081,0.08,334.0
0,chips,2101,0.08,335.0
0,chips,2121,0.08,336.0
0,chips,2141,0.06,339.0
0,chips,2161,0.06,339.0
0,chips,2181,0.04,341.0
0,chips,2201,0.1,342.0
0,chips,2221,0.14,343.0
0,chips,2241,0.14,344.0
0,chips,2261,0.06,350.0
0,chips,2281,0.04,351.0
0,chips,2301,0.08,351.0
0,chips,2321,0.06,353.0
0,chips,2341,0.04,355.0
0,chips,2361,0.1,356.0
0,chips,2381,0.14,356.0
0,chips,2401,0.12,360.0
0,chips,2421,0.08,362.0
0,chips,2441,0.1,366.0
0,chips,2461,0.1,366.0
0,chips,2481,0.06,369.0
0,chips,2501,0.04,371.0
0,chips,2521,0.04,372.0
0,chips,2541,0.06,372.0
0,chips,2561,0.06,373.0
0,chips,2581,0.08,374.0
0,chips,2601,0.1,374.0
0,chips,2621,0.08,376.0
0,chips,2641,0.08,379.0
0,chips,2661,0.1,380.0
0,chips,2681,0.08,382.0
0,chips,2701,0.06,384.0
0,chips,2721,0.08,386.0
0,chips,2741,0.06,387.0
0,chips,2761,0.06,389.0
0,chips,2781,0.06,390.0
0,chips,2801,0.06,392.0
0,chips,2821,0.06,392.0
0,chips,2841,0.06,394.0
0,chips,2861,0.06,395.0
0,chips,2881,0.06,395.0
0,chips,2901,0.14,397.0
0,chips,2921,0.12,398.0
0,chips,2941,0.14,401.0
0,chips,2961,0.16,404.0
0,chips,2981,0.24,404.0
0,smartphone,1,1.0,1.0
0,smartphone,21,0.96,21.0
0,smartphone,41,0.68,36.0
0,smartphone,61,0.72,47.0
0,smartphone,81,0.66,60.0
0,smartphone,101,0.62,73.0
0,smartphone,121,0.6,85.0
0,smartphone,141,0.66,96.0
0,smartphone,161,0.56,110.0
0,smartphone,181,0.58,120.0
0,smartphone,201,0.46,131.0
0,smartphone,221,0.52,139.0
0,smartphone,241,0.54,149.0
0,smartphone,261,0.5,158.0
0,smartphone,281,0.56,169.0
0,smartphone,301,0.6,179.0
0,smartphone,321,0.6,186.0
0,smartphone,341,0.7,196.0
0,smartphone,361,0.48,207.0
0,smartphone,381,0.22,217.0
0,smartphone,401,0.18,222.0
0,smartphone,421,0.12,226.0
0,smartphone,441,0.24,228.0
0,smartphone,461,0.26,230.0
0,smartphone,481,0.24,236.0
0,smartphone,501,0.28,240.0
0,smartphone,521,0.28,245.0
0,smartphone,541,0.28,251.0
0,smartphone,561,0.2,256.0
0,smartphone,581,0.22,258.0
0,smartphone,601,0.22,263.0
0,smartphone,621,0.2,268.0
0,smartphone,641,0.3,272.0
0,smartphone,661,0.34,277.0
0,smartphone,681,0.34,281.0
0,smartphone,701,0.36,289.0
0,smartphone,721,0.3,295.0
0,smartphone,741,0.3,302.0
0,smartphone,761,0.26,308.0
0,smartphone,781,0.34,310.0
0,smartphone,801,0.3,318.0
0,smartphone,821,0.32,323.0
0,smartphone,841,0.28,331.0
0,smartphone,861,0.28,336.0
0,smartphone,881,0.22,342.0
0,plugin2,1,1.0,1.0
0,plugin2,21,0.9,20.0
0,plugin2,41,0.86,39.0
0,plugin2,61,0.88,55.0
0,plugin2,81,0.92,70.0
0,plugin2,101,0.74,84.0
0,plugin2,121,0.74,95.0
0,plugin2,141,0.58,104.0
0,plugin2,161,0.72,112.0
0,plugin2,181,0.8,123.0
0,plugin2,201,0.72,137.0
0,plugin2,221,0.66,150.0
0,plugin2,241,0.6,160.0
0,plugin2,261,0.48,173.0
0,plugin2,281,0.5,181.0
0,plugin2,301,0.54,190.0
0,plugin2,321,0.62,199.0
0,plugin2,341,0.68,210.0
0,plugin2,361,0.62,222.0
0,plugin2,381,0.54,233.0
0,plugin2,401,0.44,243.0
0,plugin2,421,0.34,252.0
0,plugin2,441,0.36,261.0
0,plugin2,461,0.36,266.0
0,plugin2,481,0.38,272.0
0,plugin2,501,0.46,280.0
0,plugin2,521,0.5,287.0
0,plugin2,541,0.46,297.0
0,plugin2,561,0.38,306.0
0,plugin2,581,0.46,313.0
0,plugin2,601,0.46,322.0
0,plugin2,621,0.32,332.0
0,plugin2,641,0.28,340.0
0,plugin2,661,0.26,346.0
0,plugin2,681,0.34,349.0
0,plugin2,701,0.34,357.0
0,plugin2,721,0.36,361.0
0,plugin2,741,0.38,367.0
0,plugin2,761,0.36,374.0
0,plugin2,781,0.34,381.0
0,plugin2,801,0.32,385.0
0,plugin2,821,0.28,390.0
0,plugin2,841,0.22,398.0
0,plugin2,861,0.26,402.0
0,plugin2,881,0.28,406.0
0,plugin2,901,0.26,410.0
0,plugin2,921,0.34,415.0
0,plugin2,941,0.34,421.0
0,plugin2,961,0.42,426.0
0,plugin2,981,0.32,434.0
0,plugin2,1001,0.3,439.0
0,plugin2,1021,0.34,447.0
0,plugin2,1041,0.4,452.0
0,plugin2,1061,0.4,458.0
0,plugin2,1081,0.28,469.0
0,plugin2,1101,0.26,473.0
0,plugin2,1121,0.24,478.0
0,plugin2,1141,0.18,483.0
0,plugin2,1161,0.22,487.0
0,plugin2,1181,0.22,491.0
0,plugin2,1201,0.18,495.0
0,plugin2,1221,0.14,499.0
0,plugin2,1241,0.12,503.0
0,plugin2,1261,0.18,504.0
0,plugin2,1281,0.16,509.0
0,plugin2,1301,0.2,512.0
0,plugin2,1321,0.26,515.0
0,plugin2,1341,0.28,520.0
0,plugin2,1361,0.24,525.0
0,plugin2,1381,0.2,530.0
0,plugin2,1401,0.18,534.0
0,plugin2,1421,0.14,538.0
0,plugin2,1441,0.16,542.0
0,plugin2,1461,0.24,543.0
0,plugin2,1481,0.26,548.0
0,plugin2,1501,0.3,552.0
0,plugin2,1521,0.36,556.0
0,plugin2,1541,0.2,564.0
0,plugin2,1561,0.18,570.0
0,plugin2,1581,0.16,572.0
0,plugin2,1601,0.14,576.0
0,plugin2,1621,0.16,580.0
0,plugin2,1641,0.28,581.0
0,plugin2,1661,0.24,585.0
0,plugin2,1681,0.18,593.0
0,plugin2,1701,0.16,595.0
0,plugin2,1721,0.1,599.0
0,plugin2,1741,0.12,602.0
0,plugin2,1761,0.1,604.0
0,plugin2,1781,0.1,606.0
0,plugin2,1801,0.12,608.0
0,plugin2,1821,0.1,611.0
0,plugin2,1841,0.12,612.0
0,plugin2,1861,0.18,615.0
0,plugin2,1881,0.3,616.0
0,plugin2,1901,0.26,621.0
0,plugin2,1921,0.26,625.0
0,plugin2,1941,0.16,632.0
0,plugin2,1961,0.08,637.0
0,plugin2,1981,0.08,640.0
0,plugin2,2001,0.14,641.0
0,plugin2,2021,0.18,643.0
0,plugin2,2041,0.18,646.0
0,plugin2,2061,0.2,650.0
0,plugin2,2081,0.14,654.0
0,plugin2,2101,0.08,658.0
0,plugin2,2121,0.08,661.0
0,plugin2,2141,0.12,662.0
0,plugin2,2161,0.16,663.0
0,plugin2,2181,0.16,666.0
0,plugin2,2201,0.14,670.0
0,plugin2,2221,0.2,673.0
0,plugin2,2241,0.16,676.0
0,plugin2,2261,0.14,682.0
0,plugin2,2281,0.24,683.0
0,plugin2,2301,0.18,687.0
0,plugin2,2321,0.12,693.0
0,plugin2,2341,0.16,695.0
0,plugin2,2361,0.14,697.0
0,plugin2,2381,0.14,700.0
0,plugin2,2401,0.12,704.0
0,plugin2,2421,0.12,706.0
0,plugin2,2441,0.12,708.0
0,plugin2,2461,0.08,711.0
0,plugin2,2481,0.08,713.0
0,plugin2,2501,0.1,715.0
0,plugin2,2521,0.14,715.0
0,plugin2,2541,0.18,719.0
0,plugin2,2561,0.22,721.0
0,plugin2,2581,0.12,726.0
0,plugin2,2601,0.1,729.0
0,plugin2,2621,0.08,732.0
0,plugin2,2641,0.1,734.0
0,plugin2,2661,0.1,735.0
0,plugin2,2681,0.06,738.0
0,plugin2,2701,0.14,739.0
0,plugin2,2721,0.22,740.0
0,plugin2,2741,0.18,743.0
0,plugin2,2761,0.08,749.0
0,plugin2,2781,0.1,751.0
0,plugin2,2801,0.1,753.0
0,plugin2,2821,0.18,753.0
0,plugin2,2841,0.14,757.0
0,plugin2,2861,0.16,760.0
0,plugin2,2881,0.14,763.0
0,plugin2,2901,0.16,766.0
0,plugin2,2921,0.14,769.0
0,plugin2,2941,0.14,772.0
0,plugin2,2961,0.18,774.0
0,plugin2,2981,0.14,778.0
0,plugin2,3001,0.1,782.0
0,plugin2,3021,0.06,785.0
0,plugin2,3041,0.1,785.0
0,plugin2,3061,0.06,787.0
0,plugin2,3081,0.04,790.0
0,plugin2,3101,0.14,790.0
0,plugin2,3121,0.16,792.0
0,plugin2,3141,0.14,795.0
0,plugin2,3161,0.14,798.0
0,plugin2,3181,0.16,799.0
0,plugin2,3201,0.18,804.0
0,plugin2,3221,0.18,807.0
0,plugin2,3241,0.16,812.0
0,plugin2,3261,0.18,815.0
0,plugin2,3281,0.24,817.0
0,plugin2,3301,0.22,820.0
0,plugin2,3321,0.12,828.0
0,plugin2,3341,0.14,830.0
0,plugin2,3361,0.18,831.0
0,plugin2,3381,0.12,836.0
0,plugin2,3401,0.08,838.0
0,plugin2,3421,0.1,840.0
0,plugin2,3441,0.16,842.0
0,plugin2,3461,0.26,845.0
0,fracking,1,1.0,1.0
0,fracking,21,0.78,17.0
0,fracking,41,0.62,31.0
0,fracking,61,0.72,42.0
0,fracking,81,0.66,51.0
0,fracking,101,0.78,60.0
0,fracking,121,0.66,77.0
0,fracking,141,0.42,89.0
0,fracking,161,0.32,98.0
0,fracking,181,0.18,105.0
0,fracking,201,0.14,110.0
0,fracking,221,0.14,112.0
0,fracking,241,0.18,115.0
0,fracking,261,0.28,118.0
0,fracking,281,0.3,120.0
0,fracking,301,0.2,128.0
0,fracking,321,0.18,132.0
0,fracking,341,0.2,136.0
0,fracking,361,0.3,139.0
0,fracking,381,0.3,143.0
0,fracking,401,0.28,151.0
0,fracking,421,0.32,154.0
0,fracking,441,0.24,160.0
0,fracking,461,0.12,168.0
0,fracking,481,0.14,170.0
0,fracking,501,0.18,173.0
0,fracking,521,0.24,175.0
0,fracking,541,0.22,180.0
0,fracking,561,0.2,184.0
0,fracking,581,0.14,189.0
0,fracking,601,0.12,192.0
0,fracking,621,0.14,195.0
0,fracking,641,0.08,198.0
0,fracking,661,0.08,202.0
0,fracking,681,0.1,202.0
0,fracking,701,0.08,204.0
0,fracking,721,0.2,205.0
0,fracking,741,0.2,207.0
0,fracking,761,0.24,209.0
0,fracking,781,0.2,215.0
0,fracking,801,0.16,219.0
0,fracking,821,0.16,224.0
0,fracking,841,0.22,225.0
0,fracking,861,0.12,231.0
0,fracking,881,0.12,234.0
0,fracking,901,0.2,235.0
0,fracking,921,0.22,238.0
0,fracking,941,0.16,241.0
0,fracking,961,0.04,248.0
0,fracking,981,0.1,249.0
0,fracking,1001,0.2,249.0
0,fracking,1021,0.42,253.0
0,fracking,1041,0.74,256.0
0,fracking,1061,1.0,264.0
0,fracking,1081,0.56,274.0
0,fracking,1101,0.28,282.0
0,fracking,1121,0.38,285.0
0,fracking,1141,0.38,292.0
0,fracking,1161,0.38,299.0
0,fracking,1181,0.34,305.0
0,fracking,1201,0.36,310.0
0,fracking,1221,0.22,320.0
0,fracking,1241,0.3,323.0
0,fracking,1261,0.24,330.0
0,fracking,1281,0.24,335.0
0,fracking,1301,0.28,338.0
0,fracking,1321,0.32,341.0
0,fracking,1341,0.26,352.0
0,fracking,1361,0.26,353.0
0,fracking,1381,0.26,358.0
0,fracking,1401,0.26,362.0
0,fracking,1421,0.34,367.0
0,fracking,1441,0.24,373.0
0,fracking,1461,0.26,378.0
0,fracking,1481,0.18,384.0
0,fracking,1501,0.24,387.0
0,fracking,1521,0.32,392.0
0,fracking,1541,0.4,396.0
0,fracking,1561,0.3,403.0
0,fracking,1581,0.24,410.0
0,fracking,1601,0.26,415.0
0,fracking,1621,0.24,421.0
0,fracking,1641,0.2,426.0
0,fracking,1661,0.22,431.0
0,fracking,1681,0.24,434.0
0,fracking,1701,0.24,439.0
0,fracking,1721,0.26,443.0
0,fracking,1741,0.2,449.0
0,fracking,1761,0.2,452.0
0,fracking,1781,0.18,457.0
0,fracking,1801,0.18,461.0
0,fracking,1821,0.16,465.0
0,fracking,1841,0.22,468.0
0,fracking,1861,0.28,471.0
0,fracking,1881,0.26,475.0
0,fracking,1901,0.18,481.0
0,fracking,1921,0.16,484.0
0,fracking,1941,0.1,488.0
0,fracking,1961,0.16,489.0
0,fracking,1981,0.22,492.0
0,fracking,2001,0.26,495.0
0,fracking,2021,0.3,499.0
0,fracking,2041,0.28,505.0
0,fracking,2061,0.26,510.0
0,fracking,2081,0.2,515.0
0,fracking,2101,0.24,520.0
0,fracking,2121,0.24,522.0
0,fracking,2141,0.32,527.0
0,fracking,2161,0.38,532.0
0,fracking,2181,0.26,537.0
0,fracking,2201,0.36,540.0
0,fracking,2221,0.22,547.0
0,fracking,2241,0.26,551.0
0,fracking,2261,0.26,556.0
0,fracking,2281,0.16,562.0
0,fracking,2301,0.16,566.0
0,fracking,2321,0.14,569.0
0,fracking,2341,0.14,570.0
0,fracking,2361,0.22,573.0
0,fracking,2381,0.24,575.0
0,fracking,2401,0.12,581.0
0,fracking,2421,0.08,584.0
0,fracking,2441,0.18,585.0
0,fracking,2461,0.24,587.0
0,fracking,2481,0.28,591.0
0,fracking,2501,0.28,597.0
0,fracking,2521,0.3,599.0
0,fracking,2541,0.16,605.0
0,fracking,2561,0.1,609.0
0,fracking,2581,0.2,612.0
0,fracking,2601,0.44,612.0
0,fracking,2621,0.42,617.0
0,fracking,2641,0.28,624.0
0,fracking,2661,0.32,630.0
0,fracking,2681,0.46,635.0
0,fracking,2701,0.54,640.0
0,fracking,2721,0.16,650.0
0,fracking,2741,0.26,653.0
0,fracking,2761,0.22,657.0
0,fracking,2781,0.26,661.0
0,fracking,2801,0.26,666.0
0,fracking,2821,0.24,669.0
0,fracking,2841,0.18,676.0
0,fracking,2861,0.18,679.0
0,fracking,2881,0.22,681.0
0,fracking,2901,0.24,686.0
0,fracking,2921,0.24,690.0
0,fracking,2941,0.2,695.0
0,fracking,2961,0.16,700.0
0,fracking,2981,0.2,703.0
0,fracking,3001,0.22,705.0
0,fracking,3021,0.24,708.0
0,fracking,3041,0.18,714.0
0,fracking,3061,0.18,718.0
0,fracking,3081,0.2,720.0
0,fracking,3101,0.14,724.0
0,fracking,3121,0.16,727.0
0,fracking,3141,0.24,728.0
0,fracking,3161,0.24,733.0
0,fracking,3181,0.2,739.0
0,fracking,3201,0.2,743.0
0,fracking,3221,0.18,746.0
0,fracking,3241,0.18,750.0
0,fracking,3261,0.14,753.0
0,fracking,3281,0.18,755.0
0,fracking,3301,0.08,760.0
0,fracking,3321,0.12,762.0
0,fracking,3341,0.12,764.0
0,fracking,3361,0.12,764.0
0,fracking,3381,0.1,767.0
0,fracking,3401,0.14,769.0
0,fracking,3421,0.2,770.0
0,fracking,3441,0.22,773.0
0,fracking,3461,0.2,779.0
0,fracking,3481,0.16,783.0
0,fracking,3501,0.16,785.0
0,fracking,3521,0.16,788.0
0,fracking,3541,0.16,792.0
0,fracking,3561,0.2,794.0
0,fracking,3581,0.14,799.0
0,ml,1,1.0,1.0
0,ml,21,0.96,19.0
0,ml,41,0.86,35.0
0,ml,61,0.72,46.0
0,ml,81,0.72,57.0
0,ml,101,0.64,69.0
0,ml,121,0.38,78.0
0,ml,141,0.42,84.0
0,ml,161,0.36,94.0
0,ml,181,0.38,101.0
0,ml,201,0.44,108.0
0,ml,221,0.36,115.0
0,ml,241,0.32,123.0
0,ml,261,0.34,129.0
0,ml,281,0.34,133.0
0,ml,301,0.34,140.0
0,ml,321,0.3,144.0
0,ml,341,0.26,151.0
0,ml,361,0.18,159.0
0,ml,381,0.22,163.0
0,ml,401,0.22,167.0
0,ml,421,0.36,169.0
0,ml,441,0.28,176.0
0,ml,461,0.34,180.0
0,ml,481,0.26,188.0
0,ml,501,0.22,195.0
0,ml,521,0.24,199.0
0,ml,541,0.22,202.0
0,ml,561,0.18,205.0
0,ml,581,0.16,213.0
0,ml,601,0.18,214.0
0,ml,621,0.2,217.0
0,ml,641,0.16,222.0
0,ml,661,0.16,226.0
0,ml,681,0.18,229.0
0,ml,701,0.14,233.0
0,ml,721,0.12,236.0
0,ml,741,0.22,239.0
0,ml,761,0.22,241.0
0,ml,781,0.24,247.0
0,ml,801,0.28,250.0
0,ml,821,0.26,256.0
0,ml,841,0.2,262.0
0,ml,861,0.12,267.0
0,ml,881,0.16,270.0
0,ml,901,0.18,271.0
0,ml,921,0.2,277.0
0,ml,941,0.28,279.0
0,ml,961,0.28,284.0
0,ml,981,0.28,288.0
0,ml,1001,0.18,297.0
0,ml,1021,0.18,300.0
0,ml,1041,0.2,303.0
0,ml,1061,0.22,307.0
0,ml,1081,0.18,311.0
0,ml,1101,0.08,317.0
0,ml,1121,0.08,318.0
0,ml,1141,0.08,320.0
0,ml,1161,0.1,322.0
0,ml,1181,0.14,323.0
0,ml,1201,0.16,325.0
0,ml,1221,0.24,328.0
0,ml,1241,0.24,331.0
0,ml,1261,0.2,337.0
0,ml,1281,0.24,341.0
0,ml,1301,0.2,345.0
0,ml,1321,0.08,349.0
0,ml,1341,0.18,352.0
0,ml,1361,0.22,353.0
0,ml,1381,0.14,357.0
0,ml,1401,0.14,361.0
0,ml,1421,0.2,362.0
0,ml,1441,0.18,367.0
0,ml,1461,0.2,368.0
0,ml,1481,0.14,373.0
0,ml,1501,0.14,377.0
0,ml,1521,0.24,379.0
0,ml,1541,0.2,383.0
0,ml,1561,0.18,387.0
0,ml,1581,0.22,391.0
0,ml,1601,0.22,393.0
0,ml,1621,0.14,399.0
0,ml,1641,0.1,402.0
0,ml,1661,0.12,405.0
0,ml,1681,0.18,407.0
0,ml,1701,0.22,408.0
0,ml,1721,0.14,412.0
0,ml,1741,0.06,418.0
0,ml,1761,0.1,419.0
0,ml,1781,0.12,420.0
0,ml,1801,0.12,423.0
0,ml,1821,0.16,424.0
0,ml,1841,0.16,427.0
0,ml,1861,0.16,428.0
0,ml,1881,0.1,431.0
0,ml,1901,0.1,434.0
0,ml,1921,0.12,435.0
0,ml,1941,0.16,437.0
0,ml,1961,0.1,441.0
0,ml,1981,0.16,443.0
0,ml,2001,0.22,446.0
0,ml,2021,0.24,450.0
0,ml,2041,0.18,456.0
0,ml,2061,0.2,459.0
0,ml,2081,0.18,463.0
0,ml,2101,0.12,468.0
0,ml,2121,0.12,470.0
0,ml,2141,0.1,473.0
0,ml,2161,0.14,475.0
0,ml,2181,0.16,477.0
0,ml,2201,0.18,479.0
0,ml,2221,0.1,483.0
0,ml,2241,0.08,486.0
0,ml,2261,0.08,488.0
0,ml,2281,0.08,489.0
0,ml,2301,0.04,492.0
0,ml,2321,0.14,492.0
0,ml,2341,0.14,494.0
0,ml,2361,0.14,496.0
0,ml,2381,0.1,500.0
0,ml,2401,0.12,502.0
0,ml,2421,0.14,504.0
0,ml,2441,0.1,507.0
0,ml,2461,0.12,507.0
0,ml,2481,0.04,511.0
0,ml,2501,0.04,512.0
0,ml,2521,0.06,513.0
0,ml,2541,0.1,513.0
0,ml,2561,0.2,514.0
0,ml,2581,0.18,516.0
0,ml,2601,0.14,519.0
0,ml,2621,0.08,524.0
0,ml,2641,0.06,525.0
0,ml,2661,0.02,528.0
0,ml,2681,0.1,528.0
0,ml,2701,0.14,528.0
0,ml,2721,0.12,532.0
0,ml,2741,0.12,533.0
0,ml,2761,0.08,537.0
0,ml,2781,0.12,539.0
0,ml,2801,0.14,540.0
0,ml,2821,0.18,543.0
0,ml,2841,0.16,545.0
0,ml,2861,0.12,550.0
0,ml,2881,0.1,552.0
0,ml,2901,0.04,555.0
0,ml,2921,0.06,557.0
0,ml,2941,0.1,557.0
0,ml,2961,0.22,560.0
0,ml,2981,0.28,560.0
0,ml,3001,0.14,566.0
0,ml,3021,0.08,571.0
0,ml,3041,0.1,571.0
0,ml,3061,0.1,574.0
0,ml,3081,0.14,575.0
0,ml,3101,0.12,576.0
0,ml,3121,0.04,582.0
0,ml,3141,0.04,582.0
0,ml,3161,0.06,583.0
0,ml,3181,0.1,584.0
0,ml,3201,0.14,585.0
0,ml,3221,0.08,586.0
0,ml,3241,0.08,588.0
0,ml,3261,0.08,590.0
0,ml,3281,0.12,590.0
0,ml,3301,0.12,593.0
0,ml,3321,0.06,596.0
0,ml,3341,0.08,598.0
0,ml,3361,0.08,599.0
0,ml,3381,0.06,601.0
0,ml,3401,0.1,601.0
0,ml,3421,0.08,603.0
0,ml,3441,0.08,605.0
0,ml,3461,0.12,605.0
0,ml,3481,0.1,608.0
0,ml,3501,0.08,610.0
0,ml,3521,0.06,613.0
0,ml,3541,0.04,613.0
0,ml,3561,0.04,614.0
0,ml,3581,0.04,615.0
0,ml,3601,0.02,616.0
0,ml,3621,0.06,616.0
0,ml,3641,0.12,617.0
0,ml,3661,0.24,617.0
0,ml,3681,0.22,620.0
0,ml,3701,0.16,627.0
0,ml,3721,0.16,631.0
0,ml,3741,0.16,633.0
0,ml,3761,0.1,637.0
0,ml,3781,0.06,640.0
0,ml,3801,0.12,641.0
0,ml,3821,0.12,642.0
0,ml,3841,0.04,645.0
0,ml,3861,0.1,646.0
0,ml,3881,0.2,647.0
0,ml,3901,0.18,649.0
0,ml,3921,0.2,655.0
0,ml,3941,0.14,658.0
0,ml,3961,0.18,662.0
0,ml,3981,0.14,665.0
0,ml,4001,0.2,668.0
0,ml,4021,0.26,671.0
0,ml,4041,0.16,677.0
0,ml,4061,0.12,681.0
0,ml,4081,0.1,684.0
0,ml,4101,0.14,685.0
0,ml,4121,0.08,688.0
0,ml,4141,0.06,689.0
0,ml,4161,0.08,692.0
0,ml,4181,0.16,692.0
0,ml,4201,0.2,693.0
0,ml,4221,0.12,697.0
0,ml,4241,0.04,703.0
0,ml,4261,0.12,703.0
0,ml,4281,0.16,704.0
0,ml,4301,0.16,708.0
0,ml,4321,0.16,712.0
0,ml,4341,0.12,716.0
0,ml,4361,0.06,720.0
0,ml,4381,0.08,721.0
0,ml,4401,0.12,723.0
0,ml,4421,0.12,725.0
0,ml,4441,0.1,727.0
0,ml,4461,0.04,730.0
0,ml,4481,0.02,731.0
0,ml,4501,0.02,732.0
0,ml,4521,0.04,732.0
0,ml,4541,0.06,733.0
0,ml,4561,0.06,734.0
0,ml,4581,0.08,734.0
0,ml,4601,0.06,737.0
0,ml,4621,0.1,737.0
0,ml,4641,0.08,740.0
0,ml,4661,0.1,740.0
0,ml,4681,0.08,742.0
0,ml,4701,0.06,743.0
0,ml,4721,0.04,746.0
0,ml,4741,0.1,746.0
0,ml,4761,0.1,748.0
0,ml,4781,0.12,749.0
0,ml,4801,0.06,752.0
0,ml,4821,0.1,755.0
0,ml,4841,0.2,755.0
0,ml,4861,0.2,758.0
0,ml,4881,0.18,762.0
0,ml,4901,0.1,767.0
0,ml,4921,0.1,769.0
0,ml,4941,0.06,772.0
0,ml,4961,0.08,774.0
0,ml,4981,0.04,775.0
0,ml,5001,0.06,775.0
0,ml,5021,0.1,777.0
0,ml,5041,0.12,778.0
0,ml,5061,0.18,781.0
0,ml,5081,0.2,784.0
0,ml,5101,0.14,788.0
0,ml,5121,0.1,789.0
0,ml,5181,0.04,794.0
0,ml,5201,0.06,794.0
0,ml,5221,0.12,795.0
0,ml,5241,0.08,796.0
0,ml,5261,0.14,797.0
0,ml,5281,0.18,800.0
0,ml,5301,0.2,801.0
0,ml,5321,0.18,808.0
0,ml,5341,0.16,811.0
0,ml,5361,0.1,815.0
0,ml,5381,0.1,818.0
0,ml,5401,0.08,820.0
0,ml,5421,0.06,823.0
0,ml,5441,0.08,823.0
0,ml,5461,0.08,825.0
0,ml,5481,0.08,826.0
0,ml,5501,0.1,828.0
0,ml,5521,0.12,829.0
0,ml,5541,0.14,830.0
0,ml,5561,0.16,834.0
0,ml,5581,0.16,835.0
0,ml,5601,0.12,839.0
0,ml,5621,0.08,843.0
0,ml,5641,0.08,844.0
0,ml,5661,0.1,845.0
0,ml,5681,0.12,847.0
0,ml,5701,0.08,849.0
0,ml,5721,0.04,852.0
0,ml,5741,0.06,853.0
0,ml,5761,0.12,854.0
0,ml,5781,0.1,856.0
0,ml,5801,0.12,857.0
0,ml,5821,0.08,860.0
0,ml,5841,0.08,862.0
0,ml,5861,0.06,864.0
0,ml,5881,0.06,865.0
0,ml,5901,0.1,865.0
0,ml,5921,0.1,867.0
0,ml,5941,0.14,869.0
0,ml,5961,0.14,872.0
0,ml,5981,0.2,874.0
0,ml,6001,0.12,878.0
0,ml,6021,0.16,881.0
0,ml,6041,0.14,884.0
0,ml,6061,0.12,888.0
